ct_mr;norm_pat;ich_stroke
1_ct_norma_013_2.jpg;21_ct_norma_025_35.jpg;41_mr_stroke_022_136.jpg
2_ct_norma_010_80S.jpg;22_mr_norma_026_33.jpg;42_121_mr_stroke_031_128.jpg
3_ct_stroke_039_101.jpg;23_ct_stroke_034_110.jpg;43_122_mr_stroke_014_160.jpg
4_ct_ich_007_5.jpg;24_mr_stroke_019_138.jpg;44_124_ct_stroke_014_149.jpg
5_ct_ich_024_28.jpg;25_ct_stroke_020_134.jpg;45_ct_ich_018_12.jpg
6_mr_stroke_035_106.jpg;26_ct_ich_013_5.jpg;46_125_ct_ich_029_39.jpg
7_ct_stroke_015_151.jpg;27_ct_ich_037_52.jpg;47_mr_stroke_020_137.jpg
8_ct_norma_014_4.jpg;28_mr_ich_008_30.jpg;48_126_ct_stroke_004_183.jpg
9_ct_ich_040_57.jpg;29_mr_norma_013_9.jpg;49_ct_ich_003_186.jpg
10_ct_ich_005_178.jpg;30_ct_ich_021_22.jpg;50_ct_ich_020_19.jpg
11_ct_stroke_005_180.jpg;31_mr_norma_001_170S.jpg;51_127_mr_ich_004_22.jpg
12_mr_ich_005_25.jpg;32_ct_ich_038_53.jpg;52_ct_stroke_010_161.jpg
13_mr_stroke_033_111.jpg;33_ct_stroke_016_145.jpg;53_ct_ich_026_29.jpg
14_ct_stroke_036_107.jpg;34_mr_norma_010_6.jpg;54_ct_stroke_001.jpg
15_mr_norma_030_39.jpg;35_ct_ich_034_49.jpg;55_mr_stroke_032_116.jpg
16_ct_norma_029_42.jpg;36_mr_stroke_005_175.jpg;56_129_ct_ich_023_24.jpg
17_ct_stroke_035_108.jpg;37_mr_stroke_013_147.jpg;57_ct_stroke_029_118.jpg
18_mr_norma_012_8.jpg;38_ct_ich_012_5.jpg;58_142_mr_ich_003_7.jpg
19_mr_norma_015_12.jpg;39_mr_norma_038_50.jpg;59_ct_stroke_011_158.jpg
20_ct_stroke_026_123.jpg;40_ct_norma_026_35.jpg;60_ct_ich_010_3.jpg
